Date Time,Atomic Structure,Maximum CPU Threads,GPU Integration,GPU Eigensolver,Num Partitions,Limit,Matrix Dim,Step Size,Convergence Percentage,Max Iterations,Iteration,Total Energy,Eigensolver Time,Integration Time,Total Time,
2022/04/13-22:30:11,0,1,0,1,10,4,1000,0.888889,0.01,20,11,-2.37163,0.75855,0.0111336,0.7725,
2022/04/13-22:30:11,0,1,0,1,10,4,1000,0.888889,0.01,20,12,-2.37141,0.74814,0.011138,0.762186,
2022/04/13-22:30:24,0,1,1,1,10,4,1000,0.888889,0.01,20,0,-2.30446,0.615485,0.234712,0.854974,
2022/04/13-22:30:24,0,1,1,1,10,4,1000,0.888889,0.01,20,1,-2.41132,0.619609,0.237484,0.860775,
2022/04/13-22:30:24,0,1,1,1,10,4,1000,0.888889,0.01,20,2,-2.34942,0.633338,0.250333,0.887585,
2022/04/13-22:30:24,0,1,1,1,10,4,1000,0.888889,0.01,20,3,-2.38419,0.614508,0.248767,0.866713,
2022/04/13-22:30:24,0,1,1,1,10,4,1000,0.888889,0.01,20,4,-2.36433,0.626915,0.245508,0.875909,
2022/04/13-22:30:24,0,1,1,1,10,4,1000,0.888889,0.01,20,5,-2.37558,0.626927,0.244596,0.874766,
2022/04/13-22:30:24,0,1,1,1,10,4,1000,0.888889,0.01,20,6,-2.36918,0.614083,0.245808,0.863559,
2022/04/13-22:30:24,0,1,1,1,10,4,1000,0.888889,0.01,20,7,-2.37281,0.629335,0.244293,0.87737,
2022/04/13-22:30:24,0,1,1,1,10,4,1000,0.888889,0.01,20,8,-2.37074,0.613964,0.267444,0.884928,
2022/04/13-22:30:24,0,1,1,1,10,4,1000,0.888889,0.01,20,9,-2.37192,0.609281,0.243924,0.856342,
2022/04/13-22:30:24,0,1,1,1,10,4,1000,0.888889,0.01,20,10,-2.37125,0.615973,0.243792,0.863007,
2022/04/13-22:30:24,0,1,1,1,10,4,1000,0.888889,0.01,20,11,-2.37163,0.693234,0.242849,0.939364,
2022/04/13-22:30:24,0,1,1,1,10,4,1000,0.888889,0.01,20,12,-2.37141,0.630081,0.25635,0.889953,
2022/04/13-22:30:26,0,16,0,0,10,4,1000,0.888889,0.01,20,0,-2.30446,0.126318,0.022451,0.154082,
2022/04/13-22:30:26,0,16,0,0,10,4,1000,0.888889,0.01,20,1,-2.41132,0.190851,0.0216389,0.216225,
2022/04/13-22:30:26,0,16,0,0,10,4,1000,0.888889,0.01,20,2,-2.34942,0.102269,0.0214749,0.126803,
2022/04/13-22:30:26,0,16,0,0,10,4,1000,0.888889,0.01,20,3,-2.38419,0.0787282,0.0213902,0.10292,
2022/04/13-22:30:26,0,16,0,0,10,4,1000,0.888889,0.01,20,4,-2.36433,0.0874849,0.0216109,0.111871,
2022/04/13-22:30:26,0,16,0,0,10,4,1000,0.888889,0.01,20,5,-2.37558,0.0871993,0.0215792,0.11162,
2022/04/13-22:30:26,0,16,0,0,10,4,1000,0.888889,0.01,20,6,-2.36918,0.0954241,0.0230448,0.121715,
2022/04/13-22:30:26,0,16,0,0,10,4,1000,0.888889,0.01,20,7,-2.37281,0.0970507,0.0217687,0.121861,
2022/04/13-22:30:26,0,16,0,0,10,4,1000,0.888889,0.01,20,8,-2.37074,0.0937552,0.021924,0.118547,
2022/04/13-22:30:26,0,16,0,0,10,4,1000,0.888889,0.01,20,9,-2.37192,0.0914501,0.021819,0.116454,
2022/04/13-22:30:26,0,16,0,0,10,4,1000,0.888889,0.01,20,10,-2.37125,0.310693,0.0213045,0.33595,
2022/04/13-22:30:26,0,16,0,0,10,4,1000,0.888889,0.01,20,11,-2.37163,0.100553,0.0217452,0.12561,
2022/04/13-22:30:26,0,16,0,0,10,4,1000,0.888889,0.01,20,12,-2.37141,0.0836724,0.0214957,0.108146,
2022/04/13-22:30:33,0,16,1,0,10,4,1000,0.888889,0.01,20,0,-2.30446,0.130571,0.176826,0.31194,
2022/04/13-22:30:33,0,16,1,0,10,4,1000,0.888889,0.01,20,1,-2.41132,0.120083,0.144857,0.268555,
2022/04/13-22:30:33,0,16,1,0,10,4,1000,0.888889,0.01,20,2,-2.34942,0.150681,0.174763,0.328621,
2022/04/13-22:30:33,0,16,1,0,10,4,1000,0.888889,0.01,20,3,-2.3842,0.0901606,0.162221,0.255587,
2022/04/13-22:30:33,0,16,1,0,10,4,1000,0.888889,0.01,20,4,-2.36433,0.289028,0.169252,0.463155,
2022/04/13-22:30:33,0,16,1,0,10,4,1000,0.888889,0.01,20,5,-2.37558,0.0851945,0.151087,0.239524,
2022/04/13-22:30:33,0,16,1,0,10,4,1000,0.888889,0.01,20,6,-2.36918,0.202509,0.14859,0.354478,
2022/04/13-22:30:33,0,16,1,0,10,4,1000,0.888889,0.01,20,7,-2.37281,0.103811,0.151257,0.258427,
2022/04/13-22:30:33,0,16,1,0,10,4,1000,0.888889,0.01,20,8,-2.37074,0.0930365,0.174849,0.270957,
2022/04/13-22:30:33,0,16,1,0,10,4,1000,0.888889,0.01,20,9,-2.37192,1.21323,0.144784,1.36124,
2022/04/13-22:30:33,0,16,1,0,10,4,1000,0.888889,0.01,20,10,-2.37125,0.10067,0.186138,0.290228,
2022/04/13-22:30:33,0,16,1,0,10,4,1000,0.888889,0.01,20,11,-2.37163,0.482437,0.158377,0.644093,
2022/04/13-22:30:33,0,16,1,0,10,4,1000,0.888889,0.01,20,12,-2.37141,1.42562,0.150186,1.57928,
2022/04/13-22:30:44,0,16,0,1,10,4,1000,0.888889,0.01,20,0,-2.30446,0.744409,0.011046,0.761101,
2022/04/13-22:30:44,0,16,0,1,10,4,1000,0.888889,0.01,20,1,-2.41132,0.740877,0.0114276,0.75557,
2022/04/13-22:30:44,0,16,0,1,10,4,1000,0.888889,0.01,20,2,-2.34942,0.750114,0.0107983,0.764573,
2022/04/13-22:30:44,0,16,0,1,10,4,1000,0.888889,0.01,20,3,-2.38419,0.71464,0.0108154,0.728334,
2022/04/13-22:30:44,0,16,0,1,10,4,1000,0.888889,0.01,20,4,-2.36433,0.725702,0.010921,0.74023,
2022/04/13-22:30:44,0,16,0,1,10,4,1000,0.888889,0.01,20,5,-2.37558,0.709912,0.0115015,0.724251,
2022/04/13-22:30:44,0,16,0,1,10,4,1000,0.888889,0.01,20,6,-2.36918,0.726812,0.0109826,0.741896,
2022/04/13-22:30:44,0,16,0,1,10,4,1000,0.888889,0.01,20,7,-2.3728,0.71934,0.0112414,0.734015,
2022/04/13-22:30:44,0,16,0,1,10,4,1000,0.888889,0.01,20,8,-2.37074,0.721336,0.0110452,0.735928,
2022/04/13-22:30:44,0,16,0,1,10,4,1000,0.888889,0.01,20,9,-2.37192,0.718301,0.0113259,0.732695,
2022/04/13-22:30:44,0,16,0,1,10,4,1000,0.888889,0.01,20,10,-2.37125,0.721545,0.0109769,0.736277,
2022/04/13-22:30:44,0,16,0,1,10,4,1000,0.888889,0.01,20,11,-2.37163,0.714813,0.0109126,0.72851,
2022/04/13-22:30:44,0,16,0,1,10,4,1000,0.888889,0.01,20,12,-2.37141,0.714548,0.0109578,0.729181,
2022/04/13-22:30:56,0,16,1,1,10,4,1000,0.888889,0.01,20,0,-2.30446,0.583989,0.246992,0.835389,
2022/04/13-22:30:56,0,16,1,1,10,4,1000,0.888889,0.01,20,1,-2.41132,0.573495,0.246838,0.823489,
2022/04/13-22:30:56,0,16,1,1,10,4,1000,0.888889,0.01,20,2,-2.34942,0.576898,0.248294,0.828694,
2022/04/13-22:30:56,0,16,1,1,10,4,1000,0.888889,0.01,20,3,-2.38419,0.57581,0.242292,0.821234,
2022/04/13-22:30:56,0,16,1,1,10,4,1000,0.888889,0.01,20,4,-2.36433,0.581968,0.242615,0.827747,
2022/04/13-22:30:56,0,16,1,1,10,4,1000,0.888889,0.01,20,5,-2.37558,0.583457,0.25152,0.838552,
2022/04/13-22:30:56,0,16,1,1,10,4,1000,0.888889,0.01,20,6,-2.36918,0.582719,0.25159,0.83789,
2022/04/13-22:30:56,0,16,1,1,10,4,1000,0.888889,0.01,20,7,-2.37281,0.601576,0.254849,0.860831,
2022/04/13-22:30:56,0,16,1,1,10,4,1000,0.888889,0.01,20,8,-2.37074,0.586683,0.255489,0.845596,
2022/04/13-22:30:56,0,16,1,1,10,4,1000,0.888889,0.01,20,9,-2.37192,0.65092,0.246331,0.900507,
2022/04/13-22:30:56,0,16,1,1,10,4,1000,0.888889,0.01,20,10,-2.37125,0.604197,0.266151,0.873762,
2022/04/13-22:30:56,0,16,1,1,10,4,1000,0.888889,0.01,20,11,-2.37163,0.600953,0.248326,0.852645,
2022/04/13-22:30:56,0,16,1,1,10,4,1000,0.888889,0.01,20,12,-2.37141,0.603198,0.267301,0.873734,
2022/04/13-22:31:12,0,1,0,0,15,4,3375,0.571429,0.01,20,0,-37.1253,3.78951,0.137148,3.98303,
2022/04/13-22:31:12,0,1,0,0,15,4,3375,0.571429,0.01,20,1,-37.1365,3.76326,0.127681,3.94725,
2022/04/13-22:31:12,0,1,0,0,15,4,3375,0.571429,0.01,20,2,-37.1364,3.71695,0.126195,3.89882,
2022/04/13-22:31:28,0,1,1,0,15,4,3375,0.571429,0.01,20,0,-37.1253,3.63618,0.113608,3.79966,
2022/04/13-22:31:28,0,1,1,0,15,4,3375,0.571429,0.01,20,1,-37.1366,3.64836,0.115276,3.81391,
2022/04/13-22:31:28,0,1,1,0,15,4,3375,0.571429,0.01,20,2,-37.1364,3.7358,0.114322,3.90215,
2022/04/13-22:31:33,0,1,0,1,15,4,3375,0.571429,0.01,20,0,-37.1253,1.03969,0.1254,1.22612,
2022/04/13-22:31:33,0,1,0,1,15,4,3375,0.571429,0.01,20,1,-37.1366,1.0081,0.125713,1.18429,
2022/04/13-22:31:33,0,1,0,1,15,4,3375,0.571429,0.01,20,2,-37.1364,1.03409,0.124608,1.21339,
2022/04/13-22:31:38,0,1,1,1,15,4,3375,0.571429,0.01,20,0,-37.1253,0.888912,0.247396,1.19161,
2022/04/13-22:31:38,0,1,1,1,15,4,3375,0.571429,0.01,20,1,-37.1366,0.878444,0.245294,1.17462,
2022/04/13-22:31:38,0,1,1,1,15,4,3375,0.571429,0.01,20,2,-37.1365,0.875481,0.246783,1.17844,
2022/04/13-22:31:43,0,16,0,0,15,4,3375,0.571429,0.01,20,0,-37.1253,1.22831,0.160767,1.44375,
2022/04/13-22:31:43,0,16,0,0,15,4,3375,0.571429,0.01,20,1,-37.1366,1.16916,0.149568,1.37341,
2022/04/13-22:31:43,0,16,0,0,15,4,3375,0.571429,0.01,20,2,-37.1365,1.32634,0.147156,1.52964,
2022/04/13-22:31:50,0,16,1,0,15,4,3375,0.571429,0.01,20,0,-37.1253,1.1641,0.178818,1.39705,
2022/04/13-22:31:50,0,16,1,0,15,4,3375,0.571429,0.01,20,1,-37.1366,1.2161,0.125589,1.39576,
2022/04/13-22:31:50,0,16,1,0,15,4,3375,0.571429,0.01,20,2,-37.1364,1.76307,0.155843,1.97462,
2022/04/13-22:31:55,0,16,0,1,15,4,3375,0.571429,0.01,20,0,-37.1253,0.976545,0.125185,1.16042,
2022/04/13-22:31:55,0,16,0,1,15,4,3375,0.571429,0.01,20,1,-37.1366,0.956526,0.12485,1.13106,
2022/04/13-22:31:55,0,16,0,1,15,4,3375,0.571429,0.01,20,2,-37.1364,0.970053,0.124519,1.14839,
2022/04/13-22:32:00,0,16,1,1,15,4,3375,0.571429,0.01,20,0,-37.1253,0.853621,0.252369,1.16127,
2022/04/13-22:32:00,0,16,1,1,15,4,3375,0.571429,0.01,20,1,-37.1366,0.844743,0.254944,1.15521,
2022/04/13-22:32:00,0,16,1,1,15,4,3375,0.571429,0.01,20,2,-37.1365,0.854144,0.253506,1.16241,
2022/04/13-22:35:25,0,1,0,0,20,4,8000,0.421053,0.01,20,0,-3.53283,50.3365,0.717036,51.3388,
2022/04/13-22:35:25,0,1,0,0,20,4,8000,0.421053,0.01,20,1,-3.53117,51.0429,0.713437,52.0428,
2022/04/13-22:35:25,0,1,0,0,20,4,8000,0.421053,0.01,20,2,-3.5312,50.3783,0.719102,51.3835,
2022/04/13-22:38:48,0,1,1,0,20,4,8000,0.421053,0.01,20,0,-3.53283,50.3026,0.150084,50.7398,
2022/04/13-22:38:48,0,1,1,0,20,4,8000,0.421053,0.01,20,1,-3.53117,50.4583,0.148981,50.8904,
2022/04/13-22:38:48,0,1,1,0,20,4,8000,0.421053,0.01,20,2,-3.5312,50.4597,0.147878,50.8908,
2022/04/13-22:39:00,0,1,0,1,20,4,8000,0.421053,0.01,20,0,-3.53283,2.033,0.708595,3.12646,
2022/04/13-22:39:00,0,1,0,1,20,4,8000,0.421053,0.01,20,1,-3.53117,2.07667,0.709433,3.09191,
2022/04/13-22:39:00,0,1,0,1,20,4,8000,0.421053,0.01,20,2,-3.5312,2.10318,0.707325,3.11709,
2022/04/13-22:39:11,0,1,1,1,20,4,8000,0.421053,0.01,20,0,-3.53283,1.88883,0.25317,2.47168,
2022/04/13-22:39:11,0,1,1,1,20,4,8000,0.421053,0.01,20,1,-3.53117,1.96515,0.255941,2.52511,
2022/04/13-22:39:11,0,1,1,1,20,4,8000,0.421053,0.01,20,2,-3.5312,1.96002,0.25188,2.5176,
2022/04/13-22:40:22,0,16,0,0,20,4,8000,0.421053,0.01,20,0,-3.53283,17.0026,0.732147,18.0322,
2022/04/13-22:40:22,0,16,0,0,20,4,8000,0.421053,0.01,20,1,-3.53117,17.0233,0.711818,18.0218,
2022/04/13-22:40:22,0,16,0,0,20,4,8000,0.421053,0.01,20,2,-3.5312,16.7288,0.710172,17.7253,
2022/04/13-22:41:31,0,16,1,0,20,4,8000,0.421053,0.01,20,0,-3.53283,16.676,0.165097,17.1298,
2022/04/13-22:41:31,0,16,1,0,20,4,8000,0.421053,0.01,20,1,-3.53117,16.7688,0.14498,17.2019,
2022/04/13-22:41:31,0,16,1,0,20,4,8000,0.421053,0.01,20,2,-3.5312,16.634,0.140674,17.0622,
2022/04/13-22:41:43,0,16,0,1,20,4,8000,0.421053,0.01,20,0,-3.53283,1.97633,0.711387,3.0299,
2022/04/13-22:41:43,0,16,0,1,20,4,8000,0.421053,0.01,20,1,-3.53117,2.01573,0.711474,3.03654,
2022/04/13-22:41:43,0,16,0,1,20,4,8000,0.421053,0.01,20,2,-3.5312,2.01673,0.715201,3.04152,
2022/04/13-22:41:53,0,16,1,1,20,4,8000,0.421053,0.01,20,0,-3.53283,1.89641,0.258698,2.48007,
2022/04/13-22:41:53,0,16,1,1,20,4,8000,0.421053,0.01,20,1,-3.53117,1.89705,0.269482,2.47164,
2022/04/13-22:41:53,0,16,1,1,20,4,8000,0.421053,0.01,20,2,-3.5312,1.86329,0.262169,2.42969,
2022/04/13-23:07:57,0,1,0,0,25,4,15625,0.333333,0.01,20,0,-4.23325,388.569,2.85497,392.61,
2022/04/13-23:07:57,0,1,0,0,25,4,15625,0.333333,0.01,20,1,-4.23263,386.902,2.94557,391.072,
2022/04/13-23:07:57,0,1,0,0,25,4,15625,0.333333,0.01,20,2,-4.23264,386.863,2.7565,390.776,
2022/04/13-23:33:47,0,1,1,0,25,4,15625,0.333333,0.01,20,0,-4.23325,385.683,0.208479,387.028,
2022/04/13-23:33:47,0,1,1,0,25,4,15625,0.333333,0.01,20,1,-4.23263,385.47,0.155576,386.696,
2022/04/13-23:33:47,0,1,1,0,25,4,15625,0.333333,0.01,20,2,-4.23264,387.53,0.151535,388.75,
2022/04/13-23:34:31,0,1,0,1,25,4,15625,0.333333,0.01,20,0,-4.23326,7.32368,2.69692,11.2668,
2022/04/13-23:34:31,0,1,0,1,25,4,15625,0.333333,0.01,20,1,-4.23264,7.44149,2.92758,11.6119,
2022/04/13-23:34:31,0,1,0,1,25,4,15625,0.333333,0.01,20,2,-4.23264,7.3956,2.933,11.5725,
2022/04/13-23:35:05,0,1,1,1,25,4,15625,0.333333,0.01,20,0,-4.23326,7.15856,0.277792,8.68294,
2022/04/13-23:35:05,0,1,1,1,25,4,15625,0.333333,0.01,20,1,-4.23263,7.1402,0.276607,8.58136,
2022/04/13-23:35:05,0,1,1,1,25,4,15625,0.333333,0.01,20,2,-4.23264,7.17117,0.278033,8.60892,
2022/04/13-23:45:56,0,16,0,0,25,4,15625,0.333333,0.01,20,0,-4.23325,159.662,2.74392,163.556,
2022/04/13-23:45:56,0,16,0,0,25,4,15625,0.333333,0.01,20,1,-4.23264,159.725,2.83126,163.706,
2022/04/13-23:45:56,0,16,0,0,25,4,15625,0.333333,0.01,20,2,-4.23264,159.325,2.75773,163.228,
2022/04/13-23:56:45,0,16,1,0,25,4,15625,0.333333,0.01,20,0,-4.23326,159.484,0.155018,160.707,
2022/04/13-23:56:45,0,16,1,0,25,4,15625,0.333333,0.01,20,1,-4.23263,161.852,0.141095,163.068,
2022/04/13-23:56:45,0,16,1,0,25,4,15625,0.333333,0.01,20,2,-4.23264,161.24,0.1509,162.474,
2022/04/13-23:57:27,0,16,0,1,25,4,15625,0.333333,0.01,20,0,-4.23326,7.11689,2.6938,11.0689,
2022/04/13-23:57:27,0,16,0,1,25,4,15625,0.333333,0.01,20,1,-4.23264,7.20046,2.72967,11.1623,
2022/04/13-23:57:27,0,16,0,1,25,4,15625,0.333333,0.01,20,2,-4.23264,7.28136,2.7459,11.2653,
2022/04/13-23:58:01,0,16,1,1,25,4,15625,0.333333,0.01,20,0,-4.23326,6.94101,0.288957,8.47878,
2022/04/13-23:58:01,0,16,1,1,25,4,15625,0.333333,0.01,20,1,-4.23263,7.00295,0.286854,8.44767,
2022/04/13-23:58:01,0,16,1,1,25,4,15625,0.333333,0.01,20,2,-4.23264,6.98586,0.295435,8.45209,
2022/04/14-01:39:21,0,1,0,0,30,4,27000,0.275862,0.01,20,0,-3.77557,2014.08,8.46297,2026.49,
2022/04/14-01:39:21,0,1,0,0,30,4,27000,0.275862,0.01,20,1,-3.77543,2018.26,8.73865,2030.7,
2022/04/14-03:20:52,0,1,1,0,30,4,27000,0.275862,0.01,20,0,-3.77557,2025.52,0.152548,2029.11,
2022/04/14-03:20:52,0,1,1,0,30,4,27000,0.275862,0.01,20,1,-3.77542,2028.12,0.148731,2031.7,
2022/04/14-03:22:47,0,1,0,1,30,4,27000,0.275862,0.01,20,0,-3.77557,28.8184,8.09852,40.6533,
2022/04/14-03:22:47,0,1,0,1,30,4,27000,0.275862,0.01,20,1,-3.77543,28.8995,8.76083,41.3092,
2022/04/14-03:24:26,0,1,1,1,30,4,27000,0.275862,0.01,20,0,-3.77557,28.5061,0.352711,32.7425,
2022/04/14-03:24:26,0,1,1,1,30,4,27000,0.275862,0.01,20,1,-3.77543,28.678,0.387396,32.5418,
2022/04/14-04:09:01,0,16,0,0,30,4,27000,0.275862,0.01,20,0,-3.77557,881.531,8.29056,893.424,
2022/04/14-04:09:01,0,16,0,0,30,4,27000,0.275862,0.01,20,1,-3.77543,884.024,8.16153,895.597,
2022/04/14-04:53:36,0,16,1,0,30,4,27000,0.275862,0.01,20,0,-3.77557,890.024,0.167221,893.606,
2022/04/14-04:53:36,0,16,1,0,30,4,27000,0.275862,0.01,20,1,-3.77543,890.718,0.149934,894.188,
2022/04/14-04:55:30,0,16,0,1,30,4,27000,0.275862,0.01,20,0,-3.77557,28.6817,8.06589,40.4711,
2022/04/14-04:55:30,0,16,0,1,30,4,27000,0.275862,0.01,20,1,-3.77543,28.7169,8.09986,40.4193,
2022/04/14-04:57:08,0,16,1,1,30,4,27000,0.275862,0.01,20,0,-3.77557,28.5547,0.345962,32.6831,
2022/04/14-04:57:08,0,16,1,1,30,4,27000,0.275862,0.01,20,1,-3.77543,28.6567,0.373073,32.5115,
